==========
Args:Namespace(arch='resnet50', batch_size=64, clustering='Kmeans', data_dir='/home/ljw/cluster-contrast/data', dataset='veri', dropout=0, epochs=50, eps=0.7, eps_gap=0.02, eval_step=10, features=0, height=224, iters=400, k1=30, k2=6, logs_dir='/home/ljw/cluster-contrast/logs', lr=0.00035, momentum=0.1, nmb_cluster=800, num_instances=16, pooling_type='gem', print_freq=10, seed=1, step_size=20, temp=0.05, use_hard=True, verbose=False, weight_decay=0.0005, width=224, workers=4)
==========
==> Load unlabeled dataset
self.dataset_dir  /home/ljw/datasets/VeRi
=> VeRi loaded
Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------
pooling_type: gem
==> Create pseudo labels for unlabeled data
k-means time: 3 s
num_cluster  800
init---
==> Statistics for epoch 0: 800 clusters
Epoch: [5][50/400]	Time 0.315 (0.322)	Data 0.000 (0.006)	Loss 4.329 (3.193)
Epoch: [5][60/400]	Time 0.319 (0.321)	Data 0.000 (0.005)	Loss 4.354 (3.227)
Epoch: [5][70/400]	Time 0.317 (0.320)	Data 0.000 (0.005)	Loss 3.475 (3.195)
Epoch: [5][80/400]	Time 0.316 (0.320)	Data 0.000 (0.004)	Loss 3.067 (3.210)
Epoch: [5][90/400]	Time 0.313 (0.319)	Data 0.000 (0.004)	Loss 3.611 (3.190)
Epoch: [5][100/400]	Time 0.314 (0.319)	Data 0.000 (0.003)	Loss 2.444 (3.170)
Epoch: [5][110/400]	Time 0.317 (0.318)	Data 0.000 (0.003)	Loss 3.192 (3.181)
Epoch: [5][120/400]	Time 0.315 (0.318)	Data 0.000 (0.003)	Loss 3.040 (3.192)
Epoch: [5][130/400]	Time 0.314 (0.318)	Data 0.000 (0.002)	Loss 2.495 (3.193)
Epoch: [5][140/400]	Time 0.315 (0.318)	Data 0.000 (0.002)	Loss 2.789 (3.172)
Epoch: [5][150/400]	Time 0.315 (0.317)	Data 0.000 (0.002)	Loss 2.882 (3.167)
Epoch: [5][160/400]	Time 0.314 (0.317)	Data 0.000 (0.002)	Loss 2.926 (3.162)
Epoch: [5][170/400]	Time 0.315 (0.317)	Data 0.000 (0.002)	Loss 3.541 (3.149)
Epoch: [5][180/400]	Time 0.314 (0.317)	Data 0.000 (0.002)	Loss 2.811 (3.168)
Epoch: [5][190/400]	Time 0.315 (0.317)	Data 0.000 (0.002)	Loss 3.675 (3.167)
Epoch: [5][200/400]	Time 0.314 (0.317)	Data 0.000 (0.002)	Loss 4.397 (3.164)
Epoch: [5][210/400]	Time 0.315 (0.320)	Data 0.000 (0.005)	Loss 3.947 (3.233)
Epoch: [5][220/400]	Time 0.325 (0.320)	Data 0.000 (0.005)	Loss 3.974 (3.291)
